substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,cascade_rate,echo_rate
degraded_instruct,damaged_q2,cyber_only,generalist,1200,0.0058,0.0008,0.1572,0.4292,0.0742
degraded_instruct,damaged_q2,cyber_only,math,4800,0.014,0.0108,0.1242,0.4448,0.0656
degraded_instruct,damaged_q2,cyber_only,rhetoric,1200,0.0125,0.0075,0.1704,0.445,0.0692
degraded_instruct,damaged_q2,cyber_only,spatial,1200,0.0108,0.0058,0.1582,0.4325,0.0683
degraded_instruct,damaged_q2,cyber_plus_structural,boundary,1200,0.6542,0.3842,0.8628,0.1775,0.1183
degraded_instruct,damaged_q2,cyber_plus_structural,generalist,1200,0.2917,0.2008,0.6223,0.1933,0.1092
degraded_instruct,damaged_q2,cyber_plus_structural,math,4800,0.2587,0.2067,0.5241,0.2254,0.1104
degraded_instruct,damaged_q2,cyber_plus_structural,rhetoric,1200,0.2767,0.1792,0.6197,0.2108,0.1158
degraded_instruct,damaged_q2,cyber_plus_structural,spatial,1200,0.275,0.1933,0.6137,0.2175,0.105
degraded_instruct,damaged_q2,structural_only,boundary,1200,0.165,0.1025,0.4978,0.2983,0.0608
degraded_instruct,damaged_q2,structural_only,generalist,1200,0.1375,0.1042,0.4471,0.2792,0.0433
degraded_instruct,damaged_q2,structural_only,math,4800,0.1746,0.1431,0.4462,0.2787,0.0419
degraded_instruct,damaged_q2,structural_only,rhetoric,1200,0.1142,0.08,0.4363,0.3092,0.0433
degraded_instruct,damaged_q2,structural_only,spatial,1200,0.1475,0.1017,0.4687,0.2817,0.045
degraded_instruct,damaged_q3,all_three_balanced,boundary,1200,0.8583,0.545,0.9358,0.1017,0.1575
degraded_instruct,damaged_q3,all_three_balanced,generalist,1200,0.8775,0.6042,0.9456,0.0858,0.1242
degraded_instruct,damaged_q3,all_three_balanced,math,4800,0.8823,0.6088,0.9424,0.0969,0.1375
degraded_instruct,damaged_q3,all_three_balanced,rhetoric,1200,0.8725,0.585,0.9443,0.0833,0.1392
degraded_instruct,damaged_q3,all_three_balanced,spatial,1200,0.8692,0.5883,0.9416,0.0925,0.1533
degraded_instruct,damaged_q3,all_three_naive_all_fire,boundary,1200,0.6867,0.3133,0.85,0.165,0.3267
degraded_instruct,damaged_q3,all_three_naive_all_fire,generalist,1200,0.4408,0.2275,0.7154,0.1533,0.3092
degraded_instruct,damaged_q3,all_three_naive_all_fire,math,4800,0.3608,0.2352,0.6202,0.1675,0.2998
degraded_instruct,damaged_q3,all_three_naive_all_fire,rhetoric,1200,0.4308,0.2217,0.7116,0.1458,0.295
degraded_instruct,damaged_q3,all_three_naive_all_fire,spatial,1200,0.405,0.2175,0.6958,0.1583,0.2925
degraded_instruct,damaged_q3,baseline,boundary,1200,0.0358,0.0275,0.2737,0.3133,0.0
degraded_instruct,damaged_q3,baseline,generalist,1200,0.0408,0.0325,0.3072,0.2675,0.0
degraded_instruct,damaged_q3,baseline,math,4800,0.0887,0.0804,0.3233,0.2475,0.0
degraded_instruct,damaged_q3,baseline,rhetoric,1200,0.0508,0.0375,0.3099,0.2433,0.0
degraded_instruct,damaged_q3,baseline,spatial,1200,0.05,0.0392,0.3182,0.2783,0.0
degraded_instruct,damaged_q3,cognitive_only,boundary,1200,0.0683,0.0483,0.4093,0.2608,0.0433
degraded_instruct,damaged_q3,cognitive_only,generalist,1200,0.1467,0.1017,0.5155,0.2208,0.0425
degraded_instruct,damaged_q3,cognitive_only,math,4800,0.1806,0.1548,0.4644,0.2194,0.0404
degraded_instruct,damaged_q3,cognitive_only,rhetoric,1200,0.14,0.1008,0.5037,0.215,0.0425
degraded_instruct,damaged_q3,cognitive_only,spatial,1200,0.1358,0.1067,0.5102,0.1908,0.0358
degraded_instruct,damaged_q3,cognitive_plus_cyber,boundary,1200,0.4508,0.3092,0.7744,0.1858,0.105
degraded_instruct,damaged_q3,cognitive_plus_cyber,generalist,1200,0.2658,0.1775,0.6502,0.1825,0.1108
degraded_instruct,damaged_q3,cognitive_plus_cyber,math,4800,0.2546,0.2058,0.537,0.1867,0.0996
degraded_instruct,damaged_q3,cognitive_plus_cyber,rhetoric,1200,0.2667,0.17,0.6581,0.1767,0.1125
degraded_instruct,damaged_q3,cognitive_plus_cyber,spatial,1200,0.2267,0.1583,0.5978,0.2,0.1058
degraded_instruct,damaged_q3,cognitive_plus_structural,boundary,1200,0.7825,0.5533,0.9115,0.1425,0.0825
degraded_instruct,damaged_q3,cognitive_plus_structural,generalist,1200,0.8642,0.6508,0.9415,0.09,0.0567
degraded_instruct,damaged_q3,cognitive_plus_structural,math,4800,0.8567,0.6498,0.925,0.1023,0.0633
degraded_instruct,damaged_q3,cognitive_plus_structural,rhetoric,1200,0.8542,0.6142,0.9363,0.1092,0.0783
degraded_instruct,damaged_q3,cognitive_plus_structural,spatial,1200,0.8625,0.64,0.9397,0.1025,0.0642
degraded_instruct,damaged_q3,cyber_only,boundary,1200,0.3508,0.2308,0.723,0.1917,0.0842
degraded_instruct,damaged_q3,cyber_only,generalist,1200,0.14,0.1017,0.4885,0.2025,0.0667
degraded_instruct,damaged_q3,cyber_only,math,4800,0.1354,0.1148,0.3998,0.224,0.0667
degraded_instruct,damaged_q3,cyber_only,rhetoric,1200,0.12,0.0975,0.4669,0.2383,0.0658
degraded_instruct,damaged_q3,cyber_only,spatial,1200,0.1233,0.0967,0.462,0.215,0.08
degraded_instruct,damaged_q3,cyber_plus_structural,boundary,1200,0.8433,0.59,0.9339,0.1275,0.1242
degraded_instruct,damaged_q3,cyber_plus_structural,generalist,1200,0.7658,0.5708,0.8957,0.1042,0.1158
degraded_instruct,damaged_q3,cyber_plus_structural,math,4800,0.749,0.5642,0.8537,0.1035,0.114
degraded_instruct,damaged_q3,cyber_plus_structural,rhetoric,1200,0.7825,0.55,0.8997,0.1192,0.1258
degraded_instruct,damaged_q3,cyber_plus_structural,spatial,1200,0.7442,0.56,0.8847,0.1033,0.1108
degraded_instruct,damaged_q3,structural_only,boundary,1200,0.7142,0.5125,0.8753,0.1292,0.0442
degraded_instruct,damaged_q3,structural_only,generalist,1200,0.59,0.46,0.7992,0.1233,0.0483
degraded_instruct,damaged_q3,structural_only,math,4800,0.6327,0.5158,0.7882,0.1304,0.046
degraded_instruct,damaged_q3,structural_only,rhetoric,1200,0.575,0.4517,0.797,0.1242,0.0442
degraded_instruct,damaged_q3,structural_only,spatial,1200,0.6133,0.475,0.8136,0.1267,0.0342
degraded_instruct,healthy_q6,all_three_balanced,boundary,1200,0.8983,0.63,0.9567,0.0633,0.1742
degraded_instruct,healthy_q6,all_three_balanced,generalist,1200,0.8983,0.6883,0.96,0.0592,0.1333
degraded_instruct,healthy_q6,all_three_balanced,math,4800,0.9313,0.7002,0.9627,0.055,0.1392
degraded_instruct,healthy_q6,all_three_balanced,rhetoric,1200,0.9117,0.6608,0.9613,0.0583,0.1558
degraded_instruct,healthy_q6,all_three_balanced,spatial,1200,0.9258,0.6925,0.9674,0.0408,0.15
degraded_instruct,healthy_q6,all_three_naive_all_fire,boundary,1200,0.8792,0.4483,0.9177,0.0933,0.3483
degraded_instruct,healthy_q6,all_three_naive_all_fire,generalist,1200,0.8667,0.5075,0.9215,0.09,0.2933
degraded_instruct,healthy_q6,all_three_naive_all_fire,math,4800,0.8717,0.5121,0.9156,0.0833,0.3017
degraded_instruct,healthy_q6,all_three_naive_all_fire,rhetoric,1200,0.8583,0.4925,0.9188,0.105,0.3008
degraded_instruct,healthy_q6,all_three_naive_all_fire,spatial,1200,0.8425,0.4975,0.915,0.1117,0.2908
degraded_instruct,healthy_q6,baseline,boundary,1200,0.33,0.2917,0.678,0.0908,0.0
degraded_instruct,healthy_q6,baseline,generalist,1200,0.3342,0.2958,0.6994,0.0742,0.0
degraded_instruct,healthy_q6,baseline,math,4800,0.5048,0.469,0.7069,0.0733,0.0
degraded_instruct,healthy_q6,baseline,rhetoric,1200,0.3658,0.3175,0.7013,0.0758,0.0
degraded_instruct,healthy_q6,baseline,spatial,1200,0.3483,0.31,0.7018,0.0783,0.0
degraded_instruct,healthy_q6,cognitive_only,boundary,1200,0.5317,0.4242,0.8247,0.0833,0.0342
degraded_instruct,healthy_q6,cognitive_only,generalist,1200,0.7067,0.5908,0.8936,0.0742,0.035
degraded_instruct,healthy_q6,cognitive_only,math,4800,0.7577,0.6635,0.8613,0.0654,0.0344
degraded_instruct,healthy_q6,cognitive_only,rhetoric,1200,0.6867,0.5758,0.8896,0.06,0.0283
degraded_instruct,healthy_q6,cognitive_only,spatial,1200,0.6583,0.545,0.8787,0.07,0.0358
degraded_instruct,healthy_q6,cognitive_plus_cyber,boundary,1200,0.8908,0.6733,0.9538,0.0683,0.1125
degraded_instruct,healthy_q6,cognitive_plus_cyber,generalist,1200,0.9017,0.6967,0.9576,0.0583,0.0908
degraded_instruct,healthy_q6,cognitive_plus_cyber,math,4800,0.8438,0.6721,0.911,0.0688,0.1023
degraded_instruct,healthy_q6,cognitive_plus_cyber,rhetoric,1200,0.9075,0.6975,0.9599,0.0558,0.0958
degraded_instruct,healthy_q6,cognitive_plus_cyber,spatial,1200,0.7983,0.6375,0.9291,0.0658,0.09
degraded_instruct,healthy_q6,cognitive_plus_structural,boundary,1200,0.9258,0.7258,0.9657,0.0475,0.0833
degraded_instruct,healthy_q6,cognitive_plus_structural,generalist,1200,0.895,0.7433,0.9594,0.0575,0.06
degraded_instruct,healthy_q6,cognitive_plus_structural,math,4800,0.9306,0.7706,0.9636,0.0529,0.0671
degraded_instruct,healthy_q6,cognitive_plus_structural,rhetoric,1200,0.9008,0.7308,0.9579,0.06,0.07
degraded_instruct,healthy_q6,cognitive_plus_structural,spatial,1200,0.9167,0.7733,0.9661,0.0475,0.0633
degraded_instruct,healthy_q6,cyber_only,boundary,1200,0.8775,0.6908,0.9498,0.0692,0.0758
degraded_instruct,healthy_q6,cyber_only,generalist,1200,0.6233,0.5283,0.8528,0.0742,0.0617
degraded_instruct,healthy_q6,cyber_only,math,4800,0.6308,0.5448,0.7827,0.0779,0.0638
degraded_instruct,healthy_q6,cyber_only,rhetoric,1200,0.6592,0.5442,0.8702,0.0717,0.0775
degraded_instruct,healthy_q6,cyber_only,spatial,1200,0.595,0.5033,0.8342,0.0675,0.0692
degraded_instruct,healthy_q6,cyber_plus_structural,boundary,1200,0.9083,0.6875,0.962,0.0525,0.1383
degraded_instruct,healthy_q6,cyber_plus_structural,generalist,1200,0.9133,0.7367,0.9658,0.0483,0.1092
degraded_instruct,healthy_q6,cyber_plus_structural,math,4800,0.9321,0.7502,0.9629,0.0537,0.1067
