model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,healthy_q8,tri_routed_68_20_12,0.1152,0.0761,0.0723,-0.0052,0.0317,-0.0111
27b,degraded_instruct,healthy_q8,tri_routed_72_18_10,0.1169,0.0765,0.0723,-0.0054,0.0308,-0.0119
27b,degraded_instruct,healthy_q8,tri_stability_70,0.1133,0.0769,0.0722,-0.0023,0.0317,-0.0182
27b,degraded_instruct,healthy_q8,tri_structural_65,0.116,0.0736,0.0734,-0.0038,0.0369,-0.0125
27b,degraded_instruct,q1_k_m,cognitive_25_structural_75,0.095,0.0719,0.3084,-0.3448,0.005,-0.1148
27b,degraded_instruct,q1_k_m,cognitive_cyber_equal,0.0077,0.0052,0.0837,-0.1312,0.0742,-0.0515
27b,degraded_instruct,q1_k_m,cognitive_only,0.0048,0.0042,0.0423,-0.0618,0.0396,-0.0083
27b,degraded_instruct,q1_k_m,cognitive_structural_equal,0.045,0.0334,0.2114,-0.2627,0.0177,-0.0746
27b,degraded_instruct,q1_k_m,cyber_25_structural_75,0.1127,0.0834,0.3289,-0.3548,0.0208,-0.1323
27b,degraded_instruct,q1_k_m,cyber_only,0.0084,0.0059,0.0646,-0.1114,0.0723,-0.0613
27b,degraded_instruct,q1_k_m,cyber_structural_equal,0.069,0.05,0.2484,-0.2858,0.0484,-0.1231
27b,degraded_instruct,q1_k_m,structural_only,0.0704,0.0548,0.26,-0.3102,0.0021,-0.0921
27b,degraded_instruct,q1_k_m,tri_equal,0.0744,0.0513,0.2633,-0.2996,0.059,-0.0869
27b,degraded_instruct,q1_k_m,tri_naive_all_fire,0.1244,0.0715,0.3528,-0.3625,0.3031,-0.056
27b,degraded_instruct,q1_k_m,tri_routed_68_20_12,0.2071,0.1525,0.4618,-0.4281,0.03,-0.1419
27b,degraded_instruct,q1_k_m,tri_routed_72_18_10,0.2394,0.1696,0.4865,-0.4302,0.0259,-0.1275
27b,degraded_instruct,q1_k_m,tri_stability_70,0.2327,0.1677,0.4723,-0.4254,0.0238,-0.1325
27b,degraded_instruct,q1_k_m,tri_structural_65,0.1963,0.1479,0.4442,-0.4108,0.0336,-0.1413
27b,degraded_instruct,q8_k_m,cognitive_25_structural_75,0.1025,0.059,0.0657,0.0054,0.0146,0.0146
27b,degraded_instruct,q8_k_m,cognitive_cyber_equal,0.0915,-0.0041,0.0608,0.0133,0.0696,0.0256
27b,degraded_instruct,q8_k_m,cognitive_only,0.0973,0.0155,0.0625,0.0058,0.0387,0.0396
27b,degraded_instruct,q8_k_m,cognitive_structural_equal,0.1042,0.0523,0.066,0.0066,0.0219,0.0154
27b,degraded_instruct,q8_k_m,cyber_25_structural_75,0.104,0.0573,0.0661,0.0058,0.0231,0.0073
27b,degraded_instruct,q8_k_m,cyber_only,0.0896,-0.0093,0.0602,0.012,0.0779,0.0215
27b,degraded_instruct,q8_k_m,cyber_structural_equal,0.0956,0.034,0.0639,0.012,0.0458,0.0056
27b,degraded_instruct,q8_k_m,structural_only,0.109,0.0867,0.069,-0.0023,0.0027,0.004
27b,degraded_instruct,q8_k_m,tri_equal,0.0996,0.0059,0.065,0.0085,0.0758,0.0136
27b,degraded_instruct,q8_k_m,tri_naive_all_fire,0.0569,-0.25,0.0244,0.0304,0.3133,0.0786
