model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,cyber_25_structural_75,low,1200,0.4342,0.3417,0.7253,0.8317,0.1192,0.0183,0.2217,0.6692,0.2511,none
27b,base,collapsed_q2_edge,cyber_25_structural_75,medium,1200,0.4017,0.3233,0.6348,0.7967,0.1983,0.025,0.2967,1.1717,0.1765,none
27b,base,collapsed_q2_edge,cyber_only,extreme,1200,0.035,0.0133,0.1967,0.5867,0.4892,0.1033,0.7058,3.6517,-0.3931,cascade
27b,base,collapsed_q2_edge,cyber_only,high,1200,0.0667,0.0458,0.2412,0.645,0.4408,0.0708,0.4833,3.0492,-0.2917,cascade
27b,base,collapsed_q2_edge,cyber_only,low,1200,0.1017,0.075,0.4198,0.7458,0.1825,0.0592,0.2408,1.7125,-0.0965,primitive_gap
27b,base,collapsed_q2_edge,cyber_only,medium,1200,0.1025,0.0833,0.3397,0.6858,0.2875,0.0833,0.3658,2.5033,-0.174,primitive_gap
27b,base,collapsed_q2_edge,cyber_structural_equal,extreme,1200,0.1775,0.0925,0.4333,0.7,0.36,0.085,0.6317,2.2,-0.193,cascade
27b,base,collapsed_q2_edge,cyber_structural_equal,high,1200,0.2275,0.1633,0.4688,0.7483,0.2917,0.045,0.46,1.8908,-0.0645,cascade
27b,base,collapsed_q2_edge,cyber_structural_equal,low,1200,0.3217,0.2383,0.642,0.8133,0.1408,0.0425,0.2233,0.9458,0.1224,none
27b,base,collapsed_q2_edge,cyber_structural_equal,medium,1200,0.3225,0.2483,0.5639,0.7675,0.2067,0.0492,0.3008,1.48,0.0784,none
27b,base,collapsed_q2_edge,structural_only,extreme,1200,0.1408,0.0808,0.3816,0.6033,0.3758,0.0367,0.6717,2.3958,-0.2128,cascade
27b,base,collapsed_q2_edge,structural_only,high,1200,0.2275,0.1742,0.4655,0.6767,0.2867,0.0142,0.455,1.8633,-0.0442,cascade
27b,base,collapsed_q2_edge,structural_only,low,1200,0.3425,0.28,0.6411,0.7333,0.1375,0.0008,0.2442,0.8858,0.1748,none
27b,base,collapsed_q2_edge,structural_only,medium,1200,0.2908,0.2442,0.5475,0.7192,0.2067,0.0092,0.3358,1.5025,0.0783,none
27b,base,collapsed_q2_edge,tri_equal,extreme,1200,0.2083,0.11,0.4775,0.7858,0.3483,0.1067,0.6517,2.0008,-0.168,cascade
27b,base,collapsed_q2_edge,tri_equal,high,1200,0.27,0.1783,0.5269,0.8317,0.2825,0.07,0.445,1.6883,-0.0404,primitive_gap
27b,base,collapsed_q2_edge,tri_equal,low,1200,0.3808,0.2883,0.7001,0.9058,0.1508,0.0542,0.2292,0.7792,0.175,none
27b,base,collapsed_q2_edge,tri_equal,medium,1200,0.3692,0.2942,0.6321,0.8708,0.1992,0.0608,0.3025,1.2542,0.1353,none
27b,base,collapsed_q2_edge,tri_naive_all_fire,extreme,1200,0.3383,0.135,0.5913,0.7967,0.2492,0.3825,0.6875,1.2392,-0.1332,distractor_capture
27b,base,collapsed_q2_edge,tri_naive_all_fire,high,1200,0.3825,0.21,0.6264,0.8542,0.2275,0.3017,0.4892,1.0908,-0.0123,cascade
