model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,instruct,damaged_q3,q4_boundary_pair_72_28,0.8896,0.6932,0.9409,0.0816,0.028,0.2263
27b,instruct,damaged_q3,q4_generalist_pair_72_28,0.9025,0.692,0.9449,0.075,0.0205,0.2454
27b,instruct,damaged_q4,q2_amplifier_low_echo,0.9034,0.5273,0.9264,0.0684,0.278,0.2246
27b,instruct,damaged_q4,q3_routed_tri_68,0.9384,0.7573,0.96,0.0455,0.0336,0.1857
27b,instruct,damaged_q4,q3_stability_tri_72,0.9325,0.7559,0.9586,0.0514,0.0311,0.18
27b,instruct,damaged_q4,q4_boundary_pair_72_28,0.9241,0.7455,0.9559,0.0605,0.0268,0.1871
27b,instruct,damaged_q4,q4_generalist_pair_72_28,0.9273,0.7575,0.9573,0.0541,0.02,0.1859
27b,instruct,healthy_q6,q2_amplifier_low_echo,0.9152,0.5534,0.9324,0.0571,0.2686,0.2079
27b,instruct,healthy_q6,q3_routed_tri_68,0.9498,0.7836,0.9658,0.0341,0.0382,0.155
27b,instruct,healthy_q6,q3_stability_tri_72,0.9516,0.8007,0.967,0.0338,0.0345,0.1437
27b,instruct,healthy_q6,q4_boundary_pair_72_28,0.9482,0.7955,0.9649,0.0368,0.0282,0.1454
27b,instruct,healthy_q6,q4_generalist_pair_72_28,0.9432,0.8027,0.9641,0.0421,0.0145,0.1464
27b,instruct,healthy_q8,q2_amplifier_low_echo,0.9187,0.5636,0.9345,0.0511,0.2773,0.1836
27b,instruct,healthy_q8,q3_routed_tri_68,0.9586,0.8104,0.9703,0.0266,0.0384,0.1304
27b,instruct,healthy_q8,q3_stability_tri_72,0.9548,0.8229,0.9696,0.0327,0.0332,0.1184
27b,instruct,healthy_q8,q4_boundary_pair_72_28,0.9518,0.8198,0.9689,0.0307,0.0271,0.1275
27b,instruct,healthy_q8,q4_generalist_pair_72_28,0.9545,0.825,0.9697,0.0296,0.0195,0.1257
27b,instruct,q8_k_m,q2_amplifier_low_echo,0.93,0.5787,0.9401,0.0436,0.2639,0.1713
27b,instruct,q8_k_m,q3_routed_tri_68,0.9616,0.8341,0.9728,0.0236,0.0307,0.1114
27b,instruct,q8_k_m,q3_stability_tri_72,0.9625,0.8379,0.9722,0.0236,0.0327,0.1086
27b,instruct,q8_k_m,q4_boundary_pair_72_28,0.9579,0.8232,0.9707,0.025,0.0277,0.1232
27b,instruct,q8_k_m,q4_generalist_pair_72_28,0.957,0.8339,0.9713,0.0266,0.0175,0.1204
2b_reference,base,base_f16,q2_amplifier_low_echo,0.9286,0.5677,0.9372,0.0445,0.2882,0.168
2b_reference,base,base_f16,q3_routed_tri_68,0.9625,0.8239,0.9722,0.0223,0.0411,0.1141
2b_reference,base,base_f16,q3_stability_tri_72,0.9655,0.8259,0.9724,0.0195,0.0348,0.1229
2b_reference,base,base_f16,q4_boundary_pair_72_28,0.9637,0.8405,0.9728,0.022,0.0312,0.1077
2b_reference,base,base_f16,q4_generalist_pair_72_28,0.9582,0.8305,0.971,0.0236,0.0223,0.1221
2b_reference,base,collapsed_q2_edge,q2_amplifier_low_echo,0.4571,0.2354,0.6746,0.2455,0.2798,0.5352
2b_reference,base,collapsed_q2_edge,q3_routed_tri_68,0.155,0.1096,0.4048,0.3886,0.0386,0.5361
2b_reference,base,collapsed_q2_edge,q3_stability_tri_72,0.172,0.1236,0.4278,0.3807,0.0386,0.5337
2b_reference,base,collapsed_q2_edge,q4_boundary_pair_72_28,0.0825,0.0616,0.2783,0.4927,0.0314,0.5416
2b_reference,base,collapsed_q2_edge,q4_generalist_pair_72_28,0.0614,0.0459,0.2505,0.5105,0.0243,0.5916
2b_reference,base,damaged_q2,q2_amplifier_low_echo,0.7184,0.3559,0.831,0.1511,0.28,0.4587
2b_reference,base,damaged_q2,q3_routed_tri_68,0.4354,0.3023,0.6625,0.2291,0.043,0.4505
2b_reference,base,damaged_q2,q3_stability_tri_72,0.4611,0.3248,0.6777,0.2255,0.0364,0.4498
2b_reference,base,damaged_q2,q4_boundary_pair_72_28,0.2543,0.1857,0.5082,0.3005,0.0282,0.4491
2b_reference,base,damaged_q2,q4_generalist_pair_72_28,0.2148,0.1579,0.4886,0.2957,0.0204,0.5041
2b_reference,base,damaged_q3,q2_amplifier_low_echo,0.857,0.4507,0.9051,0.1098,0.2823,0.3241
2b_reference,base,damaged_q3,q3_routed_tri_68,0.8593,0.6207,0.9243,0.1059,0.0393,0.2945
2b_reference,base,damaged_q3,q3_stability_tri_72,0.848,0.6073,0.9208,0.1159,0.0389,0.3046
2b_reference,base,damaged_q3,q4_boundary_pair_72_28,0.7259,0.5448,0.8418,0.1352,0.0352,0.2946
2b_reference,base,damaged_q3,q4_generalist_pair_72_28,0.73,0.5355,0.8475,0.1327,0.022,0.3362
2b_reference,base,damaged_q4,q2_amplifier_low_echo,0.8857,0.4943,0.9183,0.0807,0.2818,0.275
2b_reference,base,damaged_q4,q3_routed_tri_68,0.9055,0.6837,0.9473,0.0791,0.0421,0.2404
2b_reference,base,damaged_q4,q3_stability_tri_72,0.9038,0.6964,0.9469,0.0791,0.0339,0.2321
2b_reference,base,damaged_q4,q4_boundary_pair_72_28,0.8707,0.6729,0.9293,0.0914,0.0298,0.2354
2b_reference,base,damaged_q4,q4_generalist_pair_72_28,0.8925,0.6775,0.9417,0.0852,0.0213,0.2466
2b_reference,base,healthy_q6,q2_amplifier_low_echo,0.9046,0.5336,0.9277,0.0645,0.2848,0.2173
2b_reference,base,healthy_q6,q3_routed_tri_68,0.9298,0.7562,0.9579,0.0554,0.0357,0.1713
2b_reference,base,healthy_q6,q3_stability_tri_72,0.9323,0.7586,0.9601,0.0511,0.0377,0.1671
2b_reference,base,healthy_q6,q4_boundary_pair_72_28,0.9229,0.748,0.9567,0.0589,0.033,0.1754
2b_reference,base,healthy_q6,q4_generalist_pair_72_28,0.9261,0.7604,0.957,0.057,0.0202,0.18
2b_reference,base,healthy_q8,q2_amplifier_low_echo,0.9118,0.5498,0.9311,0.06,0.2823,0.1923
2b_reference,base,healthy_q8,q3_routed_tri_68,0.9457,0.783,0.965,0.0386,0.0375,0.1525
2b_reference,base,healthy_q8,q3_stability_tri_72,0.9489,0.7887,0.9666,0.035,0.0393,0.1437
2b_reference,base,healthy_q8,q4_boundary_pair_72_28,0.9459,0.7877,0.9654,0.0386,0.0352,0.1482
2b_reference,base,healthy_q8,q4_generalist_pair_72_28,0.9461,0.7941,0.9653,0.0362,0.0221,0.1512
2b_reference,base,q8_k_m,q2_amplifier_low_echo,0.9257,0.562,0.9363,0.0509,0.2782,0.1832
2b_reference,base,q8_k_m,q3_routed_tri_68,0.9516,0.8,0.9674,0.0311,0.038,0.1364
2b_reference,base,q8_k_m,q3_stability_tri_72,0.948,0.8021,0.9666,0.0336,0.0407,0.1293
2b_reference,base,q8_k_m,q4_boundary_pair_72_28,0.9477,0.8046,0.9669,0.0334,0.033,0.1343
2b_reference,base,q8_k_m,q4_generalist_pair_72_28,0.9552,0.8213,0.9692,0.0279,0.0211,0.1311
2b_reference,degraded_instruct,base_f16,q2_amplifier_low_echo,0.9252,0.5564,0.9358,0.0452,0.2904,0.1782
2b_reference,degraded_instruct,base_f16,q3_routed_tri_68,0.9621,0.8114,0.9716,0.0218,0.0491,0.1229
2b_reference,degraded_instruct,base_f16,q3_stability_tri_72,0.9607,0.8264,0.9715,0.0254,0.037,0.1139
2b_reference,degraded_instruct,base_f16,q4_boundary_pair_72_28,0.9537,0.8141,0.9694,0.0293,0.0416,0.1136
2b_reference,degraded_instruct,base_f16,q4_generalist_pair_72_28,0.9618,0.8221,0.9722,0.0234,0.0314,0.1282
2b_reference,degraded_instruct,collapsed_q2_edge,q2_amplifier_low_echo,0.4325,0.2191,0.6557,0.2411,0.2895,0.5273
2b_reference,degraded_instruct,collapsed_q2_edge,q3_routed_tri_68,0.1355,0.0973,0.3786,0.4014,0.0488,0.5602
2b_reference,degraded_instruct,collapsed_q2_edge,q3_stability_tri_72,0.1555,0.1086,0.4092,0.3843,0.0466,0.547
2b_reference,degraded_instruct,collapsed_q2_edge,q4_boundary_pair_72_28,0.0623,0.0484,0.2518,0.5171,0.0387,0.5443
2b_reference,degraded_instruct,collapsed_q2_edge,q4_generalist_pair_72_28,0.0541,0.0377,0.2413,0.5012,0.027,0.5966
2b_reference,degraded_instruct,damaged_q2,q2_amplifier_low_echo,0.705,0.342,0.8253,0.1518,0.2855,0.4546
2b_reference,degraded_instruct,damaged_q2,q3_routed_tri_68,0.4102,0.2802,0.6449,0.2288,0.0486,0.4593
2b_reference,degraded_instruct,damaged_q2,q3_stability_tri_72,0.4346,0.2988,0.6604,0.2325,0.0427,0.4559
2b_reference,degraded_instruct,damaged_q2,q4_boundary_pair_72_28,0.2325,0.1654,0.4869,0.3179,0.0357,0.4559
2b_reference,degraded_instruct,damaged_q2,q4_generalist_pair_72_28,0.2018,0.148,0.4644,0.3202,0.0248,0.5007
2b_reference,degraded_instruct,damaged_q3,q2_amplifier_low_echo,0.857,0.4489,0.9047,0.1045,0.2975,0.3227
2b_reference,degraded_instruct,damaged_q3,q3_routed_tri_68,0.8382,0.5884,0.9121,0.1134,0.0443,0.3121
2b_reference,degraded_instruct,damaged_q3,q3_stability_tri_72,0.852,0.6027,0.9196,0.105,0.0459,0.3043
2b_reference,degraded_instruct,damaged_q3,q4_boundary_pair_72_28,0.7057,0.5121,0.8294,0.1418,0.0384,0.3121
2b_reference,degraded_instruct,damaged_q3,q4_generalist_pair_72_28,0.7173,0.5339,0.8365,0.1357,0.0268,0.3157
2b_reference,degraded_instruct,damaged_q4,q2_amplifier_low_echo,0.8889,0.4904,0.9195,0.0791,0.2898,0.2677
2b_reference,degraded_instruct,damaged_q4,q3_routed_tri_68,0.9029,0.683,0.9466,0.0775,0.0507,0.2332
2b_reference,degraded_instruct,damaged_q4,q3_stability_tri_72,0.9123,0.6929,0.9484,0.073,0.0413,0.2416
2b_reference,degraded_instruct,damaged_q4,q4_boundary_pair_72_28,0.8638,0.6661,0.926,0.0889,0.0384,0.2355
2b_reference,degraded_instruct,damaged_q4,q4_generalist_pair_72_28,0.8864,0.6643,0.9385,0.0857,0.0293,0.2573
