model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,q3_stability_tri_72,math,560,0.5,0.3571,0.7099,0.8304,0.1536,0.0411,0.4339,0.9911,0.2186,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,planning,560,0.5964,0.4571,0.7661,0.8089,0.1804,0.0304,0.3179,0.5964,0.3417,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,rhetoric,560,0.5071,0.3768,0.7078,0.7857,0.175,0.0214,0.4036,0.85,0.2452,none
27b,base,collapsed_q2_edge,q3_stability_tri_72,spatial,560,0.5857,0.4268,0.748,0.8357,0.15,0.0411,0.3482,0.7518,0.3081,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,adversarial,560,0.5161,0.3375,0.7405,0.9821,0.2446,0.0286,0.4375,0.8446,0.1812,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,boundary,560,0.5964,0.3964,0.7791,0.9929,0.2143,0.0589,0.4482,0.6929,0.2499,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,coding,560,0.3232,0.2411,0.5732,0.7196,0.2054,0.0375,0.3429,1.4518,0.0719,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,epistemic,560,0.2518,0.1964,0.5525,0.7,0.2357,0.025,0.3714,1.2911,0.0264,cascade
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,forensic,560,0.3679,0.2839,0.6364,0.9625,0.2286,0.0482,0.3661,1.2804,0.1124,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,generalist,560,0.2321,0.1839,0.5258,0.6518,0.2375,0.0339,0.3607,1.4339,0.0053,cascade
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,math,560,0.2786,0.2196,0.5344,0.6893,0.2036,0.0286,0.3893,1.7304,0.0352,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,planning,560,0.3554,0.2839,0.5737,0.7,0.2304,0.0339,0.3321,1.3554,0.1137,none
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,rhetoric,560,0.2554,0.1804,0.5129,0.6946,0.2375,0.0286,0.4089,1.6589,-0.0123,cascade
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,spatial,560,0.2911,0.2232,0.5353,0.6804,0.2107,0.0304,0.3375,1.5446,0.0497,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,adversarial,560,0.3589,0.275,0.6267,0.8875,0.25,0.0214,0.4107,1.3964,0.093,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,boundary,560,0.3696,0.2589,0.6232,0.8786,0.2554,0.0286,0.4482,1.3339,0.0741,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,coding,560,0.2982,0.2357,0.5657,0.725,0.2179,0.0321,0.3286,1.4821,0.0635,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,epistemic,560,0.2607,0.1946,0.5591,0.7732,0.2554,0.0071,0.4554,1.2821,0.0161,cascade
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,forensic,560,0.3232,0.2643,0.5774,0.8732,0.2232,0.0125,0.4446,1.5,0.0842,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,generalist,560,0.2821,0.2214,0.5681,0.7679,0.2196,0.0268,0.4643,1.3554,0.0453,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,math,560,0.2696,0.225,0.5598,0.7411,0.1786,0.0179,0.4232,1.6804,0.05,primitive_gap
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,planning,560,0.3768,0.3143,0.5994,0.75,0.1946,0.0179,0.3429,1.3375,0.158,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,rhetoric,560,0.2732,0.2089,0.5447,0.7714,0.25,0.0214,0.4607,1.575,0.014,cascade
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,spatial,560,0.3,0.2268,0.5718,0.7732,0.1911,0.0125,0.3893,1.5,0.0608,none
27b,base,damaged_q2,q2_amplifier_low_echo,adversarial,560,0.8536,0.3982,0.9008,0.9929,0.0982,0.3071,0.3607,0.075,0.2747,none
27b,base,damaged_q2,q2_amplifier_low_echo,boundary,560,0.8393,0.4214,0.8947,0.9893,0.1286,0.3214,0.3607,0.0411,0.2877,none
27b,base,damaged_q2,q2_amplifier_low_echo,coding,560,0.8446,0.4411,0.8982,0.9786,0.1089,0.2768,0.3161,0.0732,0.3241,none
27b,base,damaged_q2,q2_amplifier_low_echo,epistemic,560,0.8804,0.4393,0.9091,0.9821,0.0929,0.275,0.3768,0.0411,0.3242,none
27b,base,damaged_q2,q2_amplifier_low_echo,forensic,560,0.8696,0.4482,0.9067,0.9911,0.0875,0.3089,0.3393,0.0732,0.3294,none
27b,base,damaged_q2,q2_amplifier_low_echo,generalist,560,0.8554,0.4393,0.9042,0.9607,0.0821,0.2804,0.3768,0.0429,0.3263,none
27b,base,damaged_q2,q2_amplifier_low_echo,math,560,0.8839,0.4732,0.9144,0.975,0.0768,0.2571,0.3839,0.0464,0.3657,none
27b,base,damaged_q2,q2_amplifier_low_echo,planning,560,0.875,0.4625,0.9057,0.9786,0.0946,0.2857,0.3125,0.0518,0.3494,none
27b,base,damaged_q2,q2_amplifier_low_echo,rhetoric,560,0.8446,0.4143,0.8994,0.9661,0.1089,0.3018,0.3857,0.0393,0.2884,none
27b,base,damaged_q2,q2_amplifier_low_echo,spatial,560,0.8875,0.5161,0.9185,0.9786,0.0857,0.2839,0.2643,0.0429,0.4103,none
27b,base,damaged_q2,q3_routed_tri_68,adversarial,560,0.8732,0.5732,0.9266,0.9839,0.1018,0.0464,0.3571,0.0661,0.5015,none
27b,base,damaged_q2,q3_routed_tri_68,boundary,560,0.8589,0.6036,0.9293,0.9964,0.1214,0.0446,0.3125,0.0518,0.5306,none
27b,base,damaged_q2,q3_routed_tri_68,coding,560,0.8482,0.6161,0.9148,0.9446,0.0929,0.0464,0.3018,0.1143,0.5491,none
27b,base,damaged_q2,q3_routed_tri_68,epistemic,560,0.8357,0.5804,0.9135,0.9732,0.1,0.0321,0.3393,0.1179,0.5109,none
