model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,healthy_q8,q2_amplifier_low_echo,extreme,1400,0.9221,0.4721,0.9204,0.9929,0.0529,0.3479,0.2514,0.0536,0.3639,none
27b,base,healthy_q8,q2_amplifier_low_echo,high,1400,0.9221,0.5407,0.9322,0.9893,0.055,0.3043,0.1893,0.0564,0.4454,none
27b,base,healthy_q8,q2_amplifier_low_echo,low,1400,0.9293,0.6571,0.9534,0.9893,0.0421,0.2029,0.1057,0.0271,0.5941,none
27b,base,healthy_q8,q2_amplifier_low_echo,medium,1400,0.9207,0.6086,0.9427,0.9864,0.0514,0.2664,0.1243,0.04,0.5279,none
27b,base,healthy_q8,q3_routed_tri_68,extreme,1400,0.9643,0.7507,0.9643,0.9864,0.0271,0.0607,0.19,0.0571,0.7124,none
27b,base,healthy_q8,q3_routed_tri_68,high,1400,0.9693,0.8107,0.9691,0.9893,0.0236,0.0364,0.14,0.0607,0.7821,none
27b,base,healthy_q8,q3_routed_tri_68,low,1400,0.9436,0.8514,0.9752,0.9893,0.0193,0.0171,0.0843,0.0371,0.8336,none
27b,base,healthy_q8,q3_routed_tri_68,medium,1400,0.965,0.845,0.9721,0.9864,0.0257,0.0386,0.0921,0.0514,0.8196,none
27b,base,healthy_q8,q3_stability_tri_72,extreme,1400,0.9571,0.735,0.9619,0.9886,0.0336,0.0764,0.185,0.0629,0.6917,none
27b,base,healthy_q8,q3_stability_tri_72,high,1400,0.9543,0.8129,0.9671,0.9907,0.0393,0.0364,0.1243,0.0521,0.7812,none
27b,base,healthy_q8,q3_stability_tri_72,low,1400,0.95,0.8607,0.9782,0.9907,0.0079,0.0229,0.0707,0.0443,0.8459,none
27b,base,healthy_q8,q3_stability_tri_72,medium,1400,0.965,0.8507,0.9735,0.9914,0.0186,0.0329,0.0979,0.0579,0.8279,none
27b,base,healthy_q8,q4_boundary_pair_72_28,extreme,1400,0.9529,0.7457,0.9593,0.9893,0.0407,0.0536,0.1936,0.0643,0.7041,none
27b,base,healthy_q8,q4_boundary_pair_72_28,high,1400,0.9671,0.8207,0.9699,0.9907,0.0271,0.0293,0.1386,0.0507,0.7931,none
27b,base,healthy_q8,q4_boundary_pair_72_28,low,1400,0.9614,0.8921,0.9829,0.9929,0.0107,0.015,0.0593,0.0286,0.8798,none
27b,base,healthy_q8,q4_boundary_pair_72_28,medium,1400,0.9607,0.85,0.9739,0.9914,0.025,0.0264,0.0986,0.0464,0.827,none
27b,base,healthy_q8,q4_generalist_pair_72_28,extreme,1400,0.9564,0.7579,0.9617,0.9857,0.0386,0.0464,0.1864,0.0543,0.7194,none
27b,base,healthy_q8,q4_generalist_pair_72_28,high,1400,0.9629,0.8329,0.9657,0.9886,0.0321,0.0114,0.1314,0.0657,0.8071,none
27b,base,healthy_q8,q4_generalist_pair_72_28,low,1400,0.9514,0.8793,0.9777,0.9857,0.0179,0.0064,0.0736,0.0307,0.8652,none
27b,base,healthy_q8,q4_generalist_pair_72_28,medium,1400,0.9557,0.8536,0.9725,0.9936,0.0264,0.0136,0.1029,0.0514,0.8321,none
27b,base,q8_k_m,q2_amplifier_low_echo,extreme,1400,0.93,0.4836,0.921,0.9864,0.05,0.3786,0.2071,0.0457,0.374,none
27b,base,q8_k_m,q2_amplifier_low_echo,high,1400,0.9407,0.5607,0.9416,0.9886,0.04,0.2921,0.1793,0.0386,0.474,none
27b,base,q8_k_m,q2_amplifier_low_echo,low,1400,0.9264,0.65,0.9533,0.9929,0.0307,0.2193,0.0993,0.0414,0.5869,none
27b,base,q8_k_m,q2_amplifier_low_echo,medium,1400,0.9407,0.6043,0.9453,0.9871,0.035,0.2757,0.1257,0.0486,0.5262,none
27b,base,q8_k_m,q3_routed_tri_68,extreme,1400,0.9643,0.7586,0.966,0.9929,0.0307,0.0786,0.1636,0.0579,0.7177,none
27b,base,q8_k_m,q3_routed_tri_68,high,1400,0.965,0.81,0.9698,0.9857,0.0229,0.0436,0.1329,0.0557,0.781,none
27b,base,q8_k_m,q3_routed_tri_68,low,1400,0.9521,0.8714,0.9792,0.9921,0.0121,0.0136,0.0721,0.0364,0.8575,none
27b,base,q8_k_m,q3_routed_tri_68,medium,1400,0.965,0.8514,0.9747,0.99,0.0207,0.0386,0.0907,0.05,0.8277,none
27b,base,q8_k_m,q3_stability_tri_72,extreme,1400,0.9636,0.755,0.9634,0.9843,0.0293,0.0664,0.1664,0.0636,0.7164,none
