signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate,0.78,6,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+GAIN_CLAMP,0.8444,0.8706,0.7417,0.75,0.0,0.0167,0.0389,0.5917,0.8468,0.0,0.0,0.7778
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER,0.8444,0.8666,0.7389,0.7694,0.0,0.0222,0.0528,0.6139,0.6931,0.4778,0.0194,0.7778
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8444,0.8649,0.7278,0.8444,0.0,0.0,0.0611,0.8556,0.824,0.0,0.0,0.7778
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+GAIN_CLAMP,0.8444,0.8698,0.7361,0.6917,0.0,0.0083,0.0389,0.5083,0.8778,0.3556,0.0194,0.7556
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION,0.8444,0.868,0.7694,0.7139,0.0,0.0083,0.0389,0.65,0.8373,0.525,0.0111,0.7556
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8444,0.8923,0.7944,0.8778,0.6583,0.0028,0.1861,0.45,0.8599,0.3944,0.075,0.7333
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8444,0.8672,0.7417,0.7861,0.0,0.0,0.0444,0.775,0.8426,0.4389,0.0083,0.7333
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8444,0.8773,0.6972,0.8167,0.0,0.0083,0.0556,0.5333,0.8294,0.4111,0.0139,0.6222
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8417,0.8744,0.7611,0.8194,0.0,0.0,0.05,0.7611,0.7931,0.0,0.0,0.8222
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+COMPRESSION+GAIN_CLAMP,0.8417,0.8576,0.7833,0.7361,0.0,0.0083,0.05,0.8333,0.7712,0.5694,0.0056,0.8
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.88,0.7639,0.7722,0.0,0.0083,0.0611,0.5111,0.8293,0.0,0.0,0.7778
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.8759,0.7278,0.7889,0.0,0.0111,0.0417,0.5889,0.8022,0.0,0.0,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8417,0.874,0.7278,0.8111,0.0,0.0056,0.0444,0.675,0.8336,0.4528,0.0111,0.7778
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.8708,0.7083,0.7833,0.0,0.0083,0.0583,0.5694,0.8101,0.0,0.0,0.7778
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8417,0.8691,0.7333,0.7611,0.0,0.0,0.05,0.6667,0.7667,0.0,0.0,0.7778
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+PARITY+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.892,0.775,0.8583,0.6639,0.0056,0.2083,0.225,0.8108,0.0,0.0,0.7556
rag_like,0.48,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.8753,0.7389,0.7444,0.0,0.0,0.075,0.4611,0.7833,0.0,0.0,0.7556
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8417,0.8743,0.7417,0.7722,0.0,0.0028,0.0611,0.5722,0.8342,0.4583,0.0194,0.7556
kv_packet,0.64,7,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8417,0.8611,0.725,0.7444,0.0,0.0111,0.0556,0.6556,0.771,0.0,0.0,0.7556
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8417,0.8573,0.725,0.7972,0.0,0.0,0.0556,0.8694,0.841,0.0,0.0,0.7556
