signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+REDUNDANCY,0.885,0.8925,0.7704,0.8229,0.0,0.0005,0.0413,0.5613,0.697,1.3037,0.0205,0.8629
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+ECC+STATE_BUFFER+GAIN_CLAMP,0.8848,0.8954,0.7782,0.8298,0.0,0.0,0.0441,0.5411,0.6535,1.3941,0.0221,0.87
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+REDUNDANCY+SUPPRESSION,0.8848,0.8941,0.7762,0.8209,0.0,0.0009,0.0475,0.5214,0.6417,1.1132,0.0205,0.8543
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+REDUNDANCY+STATE_BUFFER,0.8846,0.8914,0.768,0.8309,0.0,0.0009,0.0479,0.5659,0.6837,0.9848,0.0182,0.8743
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+ECC+REDUNDANCY+STATE_BUFFER,0.8846,0.892,0.7768,0.8254,0.0,0.0,0.0466,0.5716,0.6522,1.353,0.0204,0.8714
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+STATE_BUFFER,0.8846,0.8956,0.8068,0.8318,0.0,0.0005,0.0512,0.5741,0.6415,1.1209,0.0195,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CLOCK+CARRIER+REDUNDANCY,0.8845,0.8931,0.7909,0.8255,0.0,0.0004,0.0473,0.5798,0.6405,1.0916,0.0193,0.8643
lora_candidate_repeat,0.78,14,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CARRIER+CHECKSUM+ECC,0.8845,0.8919,0.7809,0.8173,0.0,0.0002,0.0461,0.5621,0.6984,1.2675,0.0232,0.8614
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CARRIER+CHECKSUM+ECC,0.8843,0.8936,0.7825,0.8213,0.0,0.0,0.043,0.562,0.656,1.4941,0.0182,0.8671
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CARRIER+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8843,0.8936,0.7602,0.8293,0.0,0.0009,0.0509,0.5055,0.6361,0.9952,0.0175,0.8629
lora_candidate_repeat,0.78,13,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+SUPPRESSION,0.8843,0.8951,0.7695,0.8307,0.0,0.0005,0.0452,0.5229,0.734,0.8795,0.0146,0.86
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CARRIER+CHECKSUM+ECC+SUPPRESSION,0.8843,0.8923,0.7704,0.8163,0.0,0.0004,0.0446,0.5379,0.6545,1.4155,0.0216,0.8586
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+CLOCK+ECC+REDUNDANCY+GAIN_CLAMP,0.8843,0.8909,0.7705,0.8132,0.0,0.0004,0.0436,0.5575,0.6529,1.3738,0.0209,0.8543
lora_candidate_repeat,0.78,15,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP+FRAME+CHECKSUM+REDUNDANCY+SUPPRESSION,0.8841,0.8921,0.7723,0.8125,0.0,0.0005,0.0459,0.5329,0.6424,1.1462,0.017,0.87
