signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+PARITY+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.828,0.8671,0.7082,0.7584,0.0,0.008,0.0666,0.5443,0.8105,0.0,0.0,0.7943
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8277,0.8677,0.7293,0.7329,0.0,0.0043,0.0648,0.5452,0.813,0.0,0.0,0.8071
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+PARITY+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8266,0.8818,0.7557,0.8629,0.6682,0.0011,0.1948,0.4798,0.8698,0.5904,0.0659,0.79
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8263,0.8625,0.7566,0.8246,0.0,0.0009,0.0666,0.8804,0.8305,0.0,0.0,0.8014
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.825,0.8604,0.7321,0.7859,0.0,0.0016,0.0507,0.8264,0.8433,0.3854,0.0114,0.7843
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8234,0.8614,0.7177,0.7521,0.0,0.0045,0.0627,0.6598,0.7664,0.0,0.0,0.8029
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8232,0.8786,0.7548,0.8709,0.6663,0.002,0.2125,0.4795,0.8626,0.3821,0.0612,0.7886
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER,0.8227,0.8534,0.7498,0.8102,0.0,0.0112,0.0489,0.9745,0.8351,0.365,0.0132,0.7757
lora_candidate,0.78,10,FRAME+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8204,0.8617,0.6514,0.7709,0.0,0.0082,0.0488,0.5921,0.8007,0.6132,0.013,0.7786
rag_like,0.48,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8193,0.8614,0.6739,0.7146,0.0,0.0043,0.0654,0.4832,0.8161,0.382,0.0116,0.7786
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION,0.8184,0.8581,0.7427,0.7093,0.0,0.0118,0.0518,0.6682,0.8403,0.2943,0.0107,0.8057
