substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,tri_naive_equal_all_fire,high,1600,0.0825,0.0413,0.3094,0.695,0.4544,0.3262,0.6475,2.3806,-0.3311,cascade
base,collapsed_q2_edge,tri_naive_equal_all_fire,low,1600,0.2137,0.1144,0.5366,0.7906,0.235,0.2263,0.3312,1.1513,-0.0854,cascade
base,collapsed_q2_edge,tri_naive_equal_all_fire,medium,1600,0.1544,0.09,0.4311,0.7238,0.3356,0.3113,0.4662,1.8106,-0.2008,cascade
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,extreme,1600,0.1975,0.0694,0.4483,0.625,0.375,0.3675,0.8706,1.6769,-0.2701,cascade
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,high,1600,0.2719,0.1381,0.524,0.725,0.3287,0.3119,0.5938,1.3194,-0.1363,cascade
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,low,1600,0.5194,0.2744,0.7434,0.8231,0.1638,0.2419,0.3281,0.4575,0.1277,none
base,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,medium,1600,0.4,0.2269,0.6374,0.765,0.2344,0.2731,0.4069,0.9287,0.0229,cascade
base,collapsed_q2_edge,tri_structural_heavy_55,extreme,1600,0.0281,0.0081,0.1863,0.5456,0.6519,0.0775,0.9113,3.3206,-0.4419,cascade
base,collapsed_q2_edge,tri_structural_heavy_55,high,1600,0.07,0.0462,0.2755,0.6331,0.5094,0.0456,0.61,2.61,-0.295,cascade
base,collapsed_q2_edge,tri_structural_heavy_55,low,1600,0.2094,0.145,0.5341,0.7606,0.2338,0.0312,0.3131,1.1919,-0.016,cascade
base,collapsed_q2_edge,tri_structural_heavy_55,medium,1600,0.1256,0.0944,0.3839,0.6663,0.3912,0.0406,0.4431,2.0575,-0.1694,cascade
base,collapsed_q2_edge,tri_structural_heavy_60,extreme,1600,0.0356,0.0175,0.2057,0.5587,0.6281,0.0719,0.8662,3.1675,-0.413,cascade
base,collapsed_q2_edge,tri_structural_heavy_60,high,1600,0.0675,0.0481,0.2957,0.6438,0.5012,0.0462,0.5919,2.5112,-0.2844,cascade
base,collapsed_q2_edge,tri_structural_heavy_60,low,1600,0.235,0.165,0.5569,0.7712,0.2206,0.0269,0.2981,1.1306,0.0131,cascade
base,collapsed_q2_edge,tri_structural_heavy_60,medium,1600,0.1381,0.1062,0.4073,0.6744,0.3519,0.035,0.4144,1.9706,-0.138,cascade
base,collapsed_q2_edge,tri_structural_heavy_65,extreme,1600,0.0556,0.0225,0.2436,0.5644,0.5769,0.0762,0.8681,2.97,-0.3838,cascade
base,collapsed_q2_edge,tri_structural_heavy_65,high,1600,0.0981,0.0625,0.3171,0.6331,0.485,0.0494,0.5819,2.3687,-0.2579,cascade
base,collapsed_q2_edge,tri_structural_heavy_65,low,1600,0.2431,0.1869,0.5672,0.7544,0.2144,0.0231,0.3106,1.0875,0.0387,cascade
base,collapsed_q2_edge,tri_structural_heavy_65,medium,1600,0.1812,0.1344,0.4465,0.7013,0.335,0.0488,0.4462,1.7956,-0.1014,cascade
base,damaged_q2,baseline,extreme,1600,0.0,0.0,0.0033,0.18,0.9481,0.0331,1.0144,5.8613,-0.6653,cascade
base,damaged_q2,baseline,high,1600,0.0006,0.0006,0.0179,0.2394,0.775,0.0106,0.6744,4.8613,-0.531,cascade
base,damaged_q2,baseline,low,1600,0.0119,0.0088,0.134,0.38,0.3444,0.0,0.2812,2.69,-0.2516,classification_miss
base,damaged_q2,baseline,medium,1600,0.0044,0.0044,0.0624,0.3244,0.5537,0.0063,0.4706,4.03,-0.4022,cascade
base,damaged_q2,cog_25_cyb_75,extreme,1600,0.0194,0.0063,0.1494,0.5844,0.635,0.1381,0.8363,3.8462,-0.4711,cascade
base,damaged_q2,cog_25_cyb_75,high,1600,0.035,0.0238,0.216,0.6512,0.4969,0.0881,0.5262,3.1525,-0.3427,cascade
base,damaged_q2,cog_25_cyb_75,low,1600,0.1062,0.0694,0.4152,0.7575,0.2506,0.0537,0.2881,1.6706,-0.1231,primitive_gap
base,damaged_q2,cog_25_cyb_75,medium,1600,0.0938,0.0731,0.3272,0.7125,0.3575,0.0719,0.4075,2.5269,-0.2074,cascade
base,damaged_q2,cog_25_str_75,extreme,1600,0.1225,0.0525,0.3572,0.6356,0.4231,0.0394,0.7631,2.5044,-0.2686,cascade
base,damaged_q2,cog_25_str_75,high,1600,0.1812,0.13,0.4341,0.6937,0.345,0.0225,0.5038,1.9512,-0.1159,cascade
base,damaged_q2,cog_25_str_75,low,1600,0.3488,0.2606,0.6632,0.8075,0.1544,0.0037,0.2812,0.8387,0.1491,none
base,damaged_q2,cog_25_str_75,medium,1600,0.2719,0.2188,0.5418,0.7488,0.2487,0.0206,0.3694,1.4869,0.0361,cascade
base,damaged_q2,cog_40_cyb_60,extreme,1600,0.0163,0.0094,0.1343,0.5731,0.6606,0.1056,0.8394,3.9381,-0.474,cascade
base,damaged_q2,cog_40_cyb_60,high,1600,0.0325,0.02,0.2117,0.6562,0.5081,0.0862,0.5663,3.1606,-0.353,cascade
base,damaged_q2,cog_40_cyb_60,low,1600,0.0963,0.0694,0.4129,0.7806,0.2375,0.0444,0.2575,1.7175,-0.1172,primitive_gap
base,damaged_q2,cog_40_cyb_60,medium,1600,0.0781,0.0638,0.3176,0.7119,0.355,0.0706,0.4175,2.5369,-0.2171,cascade
base,damaged_q2,cog_40_str_60,extreme,1600,0.0688,0.0369,0.2843,0.6375,0.4825,0.0544,0.7981,2.8819,-0.3267,cascade
base,damaged_q2,cog_40_str_60,high,1600,0.1138,0.0838,0.3786,0.6981,0.3975,0.0256,0.5531,2.2081,-0.1953,cascade
base,damaged_q2,cog_40_str_60,low,1600,0.2719,0.2112,0.5958,0.7919,0.1675,0.0106,0.2775,1.0744,0.083,none
base,damaged_q2,cog_40_str_60,medium,1600,0.2119,0.17,0.4841,0.7419,0.2675,0.0325,0.3875,1.7575,-0.0356,cascade
base,damaged_q2,cog_50_cyb_50,extreme,1600,0.0125,0.0056,0.1336,0.5856,0.6388,0.1044,0.89,3.945,-0.4753,cascade
base,damaged_q2,cog_50_cyb_50,high,1600,0.0369,0.0256,0.2018,0.6388,0.5206,0.0869,0.565,3.1869,-0.3525,cascade
base,damaged_q2,cog_50_cyb_50,low,1600,0.1037,0.0775,0.4244,0.8025,0.235,0.0456,0.3,1.6787,-0.1101,primitive_gap
base,damaged_q2,cog_50_cyb_50,medium,1600,0.0706,0.0612,0.3044,0.7063,0.3825,0.0638,0.4156,2.5638,-0.2277,cascade
base,damaged_q2,cog_50_str_50,extreme,1600,0.0469,0.0231,0.2452,0.6175,0.5356,0.0569,0.8425,3.0956,-0.3711,cascade
base,damaged_q2,cog_50_str_50,high,1600,0.1056,0.0756,0.3413,0.6819,0.4156,0.0306,0.5594,2.4194,-0.2209,cascade
base,damaged_q2,cog_50_str_50,low,1600,0.2288,0.1681,0.5698,0.815,0.19,0.0125,0.2919,1.1587,0.0273,low_score
base,damaged_q2,cog_50_str_50,medium,1600,0.1713,0.1425,0.4516,0.755,0.2981,0.0331,0.3887,1.8987,-0.0796,cascade
base,damaged_q2,cog_60_cyb_40,extreme,1600,0.0075,0.0037,0.1176,0.5869,0.6925,0.1138,0.8794,4.06,-0.5001,cascade
base,damaged_q2,cog_60_cyb_40,high,1600,0.0275,0.0194,0.1955,0.6575,0.5425,0.0663,0.5463,3.2475,-0.3627,cascade
base,damaged_q2,cog_60_cyb_40,low,1600,0.1044,0.0725,0.432,0.7987,0.2094,0.0556,0.2919,1.6663,-0.1081,primitive_gap
base,damaged_q2,cog_60_cyb_40,medium,1600,0.0581,0.0425,0.3033,0.7294,0.3762,0.0781,0.4181,2.5863,-0.2488,cascade
base,damaged_q2,cog_60_str_40,extreme,1600,0.035,0.0169,0.2155,0.6162,0.5656,0.07,0.8169,3.3319,-0.3988,cascade
base,damaged_q2,cog_60_str_40,high,1600,0.0769,0.0575,0.3025,0.6725,0.4381,0.0369,0.5675,2.5894,-0.2562,cascade
base,damaged_q2,cog_60_str_40,low,1600,0.2112,0.1456,0.5539,0.825,0.1994,0.0194,0.2956,1.2138,-0.0024,low_score
base,damaged_q2,cog_60_str_40,medium,1600,0.1406,0.1113,0.4211,0.7538,0.315,0.0312,0.4031,2.0387,-0.1237,cascade
base,damaged_q2,cog_75_cyb_25,extreme,1600,0.0088,0.0037,0.1083,0.5781,0.7025,0.0881,0.8981,4.1562,-0.5043,cascade
base,damaged_q2,cog_75_cyb_25,high,1600,0.025,0.0194,0.171,0.6381,0.5487,0.0706,0.6225,3.3537,-0.3769,cascade
base,damaged_q2,cog_75_cyb_25,low,1600,0.1131,0.0762,0.4158,0.7819,0.2437,0.0394,0.3119,1.6812,-0.1138,primitive_gap
base,damaged_q2,cog_75_cyb_25,medium,1600,0.0581,0.0431,0.2807,0.705,0.3981,0.05,0.4419,2.6875,-0.256,cascade
base,damaged_q2,cog_75_str_25,extreme,1600,0.0194,0.0138,0.1654,0.5969,0.6194,0.07,0.8556,3.7363,-0.4413,cascade
base,damaged_q2,cog_75_str_25,high,1600,0.0494,0.0362,0.2558,0.6613,0.4681,0.0469,0.6019,2.8781,-0.3056,cascade
base,damaged_q2,cog_75_str_25,low,1600,0.1688,0.1212,0.5056,0.7981,0.205,0.0225,0.2781,1.3931,-0.0367,primitive_gap
base,damaged_q2,cog_75_str_25,medium,1600,0.09,0.0719,0.3523,0.7169,0.3438,0.0362,0.4419,2.3506,-0.1914,cascade
base,damaged_q2,cognitive_only,extreme,1600,0.0019,0.0013,0.0599,0.4694,0.7688,0.0819,0.9681,4.7569,-0.561,cascade
base,damaged_q2,cognitive_only,high,1600,0.0125,0.0106,0.1175,0.5513,0.5994,0.0387,0.6144,3.775,-0.4148,cascade
base,damaged_q2,cognitive_only,low,1600,0.0587,0.0394,0.3263,0.6881,0.2981,0.035,0.3294,1.97,-0.1819,cascade
base,damaged_q2,cognitive_only,medium,1600,0.03,0.025,0.1996,0.5981,0.4375,0.0381,0.4431,3.0994,-0.3043,cascade
base,damaged_q2,cyb_25_str_75,extreme,1600,0.1406,0.0788,0.3841,0.6106,0.4244,0.0619,0.7256,2.2425,-0.2311,cascade
base,damaged_q2,cyb_25_str_75,high,1600,0.21,0.1512,0.439,0.6531,0.3438,0.0325,0.4769,1.9056,-0.0918,cascade
base,damaged_q2,cyb_25_str_75,low,1600,0.3475,0.2694,0.647,0.7775,0.1663,0.0131,0.2694,0.8631,0.1522,none
base,damaged_q2,cyb_25_str_75,medium,1600,0.3119,0.2431,0.5583,0.7219,0.2562,0.0213,0.3406,1.3956,0.065,cascade
base,damaged_q2,cyb_40_str_60,extreme,1600,0.0956,0.0519,0.3279,0.5913,0.4719,0.075,0.7612,2.565,-0.2938,cascade
base,damaged_q2,cyb_40_str_60,high,1600,0.1625,0.1106,0.3959,0.6687,0.3787,0.0425,0.505,2.1469,-0.1592,cascade
base,damaged_q2,cyb_40_str_60,low,1600,0.2894,0.2206,0.6131,0.7869,0.1906,0.0269,0.2562,0.9706,0.089,none
base,damaged_q2,cyb_40_str_60,medium,1600,0.2594,0.2056,0.5096,0.7144,0.28,0.0319,0.3331,1.5938,0.0089,cascade
base,damaged_q2,cyb_50_str_50,extreme,1600,0.0919,0.0462,0.3144,0.6256,0.4913,0.0919,0.7075,2.7006,-0.3111,cascade
base,damaged_q2,cyb_50_str_50,high,1600,0.1394,0.0912,0.377,0.6719,0.3931,0.05,0.4744,2.235,-0.1864,cascade
base,damaged_q2,cyb_50_str_50,low,1600,0.2531,0.1794,0.5716,0.7575,0.1837,0.0306,0.2856,1.1144,0.0396,cascade
base,damaged_q2,cyb_50_str_50,medium,1600,0.2294,0.18,0.4868,0.72,0.285,0.0525,0.3406,1.7256,-0.0295,cascade
base,damaged_q2,cyb_60_str_40,extreme,1600,0.0688,0.0338,0.2884,0.61,0.4938,0.1069,0.7438,2.8894,-0.3397,cascade
base,damaged_q2,cyb_60_str_40,high,1600,0.1256,0.0887,0.3457,0.675,0.4288,0.0556,0.4813,2.3731,-0.2082,cascade
base,damaged_q2,cyb_60_str_40,low,1600,0.215,0.1519,0.5422,0.7625,0.2137,0.0462,0.2669,1.2019,-0.0029,cascade
