model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,instruct,healthy_q8,cyber_structural_25_75,5600,0.9541,0.8211,0.9699,0.993,0.0305,0.0286,0.1229,0.0486,0.7939,none
27b,instruct,healthy_q8,q2_structural_amplifier,5600,0.9204,0.5686,0.935,0.9888,0.0502,0.2716,0.1873,0.0511,0.4817,none
27b,instruct,healthy_q8,routed_tri_structural_60,5600,0.9609,0.8132,0.9706,0.99,0.0261,0.0386,0.1298,0.0479,0.7849,none
27b,instruct,healthy_q8,routed_tri_structural_65,5600,0.9566,0.8068,0.9688,0.988,0.0277,0.0423,0.13,0.052,0.777,none
27b,instruct,healthy_q8,stability_first_tri_70,5600,0.9537,0.8157,0.9692,0.9904,0.0321,0.0357,0.1225,0.0491,0.7867,none
2b_reference,base,collapsed_q2_edge,cognitive_structural_25_75,5600,0.0611,0.0464,0.2573,0.5604,0.4959,0.022,0.5791,2.7493,-0.2905,cascade
2b_reference,base,collapsed_q2_edge,cyber_structural_25_75,5600,0.0736,0.0532,0.2765,0.5557,0.4845,0.03,0.5336,2.6211,-0.2719,cascade
2b_reference,base,collapsed_q2_edge,q2_structural_amplifier,5600,0.4471,0.232,0.6721,0.773,0.2345,0.2891,0.5241,0.7588,0.0239,cascade
2b_reference,base,collapsed_q2_edge,routed_tri_structural_60,5600,0.1289,0.0907,0.3717,0.655,0.4145,0.0473,0.5514,2.1964,-0.197,cascade
2b_reference,base,collapsed_q2_edge,routed_tri_structural_65,5600,0.1393,0.0991,0.3903,0.6507,0.3975,0.0414,0.5527,2.0804,-0.1767,cascade
2b_reference,base,collapsed_q2_edge,stability_first_tri_70,5600,0.1627,0.1129,0.4177,0.6605,0.3821,0.0423,0.5446,1.96,-0.1518,cascade
2b_reference,base,damaged_q2,cognitive_structural_25_75,5600,0.222,0.1605,0.4897,0.7048,0.2979,0.0204,0.4848,1.7164,-0.0575,cascade
2b_reference,base,damaged_q2,cyber_structural_25_75,5600,0.255,0.1837,0.513,0.7061,0.3096,0.033,0.4487,1.5707,-0.0302,cascade
2b_reference,base,damaged_q2,q2_structural_amplifier,5600,0.7061,0.35,0.8273,0.8716,0.163,0.2784,0.4575,0.1991,0.1989,none
2b_reference,base,damaged_q2,routed_tri_structural_60,5600,0.3854,0.2686,0.6267,0.8077,0.2536,0.047,0.4546,1.1586,0.0888,none
2b_reference,base,damaged_q2,routed_tri_structural_65,5600,0.3975,0.2784,0.6394,0.7891,0.2396,0.0441,0.4543,1.0927,0.1067,none
2b_reference,base,damaged_q2,stability_first_tri_70,5600,0.4496,0.3139,0.6675,0.8123,0.2418,0.0409,0.4555,0.9748,0.148,none
2b_reference,base,damaged_q3,cognitive_structural_25_75,5600,0.743,0.5507,0.8537,0.9275,0.1348,0.0209,0.3212,0.3496,0.4629,none
2b_reference,base,damaged_q3,cyber_structural_25_75,5600,0.7243,0.5404,0.8427,0.8839,0.1343,0.0354,0.2971,0.3548,0.4515,none
2b_reference,base,damaged_q3,q2_structural_amplifier,5600,0.8607,0.4489,0.9063,0.9843,0.1037,0.2761,0.3375,0.053,0.3329,none
2b_reference,base,damaged_q3,routed_tri_structural_60,5600,0.8364,0.5966,0.9126,0.9691,0.1202,0.0461,0.2986,0.1154,0.5217,none
