model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q4,stability_first_tri_70,high,1400,0.9371,0.7314,0.9582,0.995,0.0557,0.0486,0.1929,0.0521,0.687,none
27b,base,damaged_q4,stability_first_tri_70,low,1400,0.935,0.8379,0.9718,0.9857,0.0293,0.0207,0.0886,0.0357,0.8161,none
27b,base,damaged_q4,stability_first_tri_70,medium,1400,0.9371,0.7829,0.9638,0.99,0.0479,0.0436,0.1393,0.045,0.7464,none
27b,base,healthy_q6,cognitive_structural_25_75,extreme,1400,0.9393,0.7129,0.9533,0.9879,0.0507,0.045,0.2371,0.0643,0.6665,none
27b,base,healthy_q6,cognitive_structural_25_75,high,1400,0.9521,0.7886,0.9642,0.9871,0.0421,0.0179,0.1643,0.0443,0.757,none
27b,base,healthy_q6,cognitive_structural_25_75,low,1400,0.9457,0.8621,0.9745,0.9829,0.0257,0.0064,0.0807,0.0293,0.8452,none
27b,base,healthy_q6,cognitive_structural_25_75,medium,1400,0.95,0.8564,0.9706,0.99,0.0314,0.0107,0.0979,0.0507,0.8345,none
27b,base,healthy_q6,cyber_structural_25_75,extreme,1400,0.9371,0.7143,0.9549,0.9857,0.055,0.06,0.2043,0.0543,0.6667,none
27b,base,healthy_q6,cyber_structural_25_75,high,1400,0.9571,0.7893,0.9653,0.9871,0.0329,0.0357,0.16,0.0543,0.7568,none
27b,base,healthy_q6,cyber_structural_25_75,low,1400,0.9357,0.8557,0.9724,0.985,0.0264,0.0143,0.075,0.0393,0.837,none
27b,base,healthy_q6,cyber_structural_25_75,medium,1400,0.9614,0.8529,0.9731,0.995,0.025,0.025,0.1,0.0529,0.8297,none
27b,base,healthy_q6,q2_structural_amplifier,extreme,1400,0.9007,0.4479,0.9105,0.9921,0.0743,0.3664,0.2514,0.0636,0.329,none
27b,base,healthy_q6,q2_structural_amplifier,high,1400,0.9107,0.5357,0.9317,0.9929,0.0664,0.2829,0.2086,0.0464,0.4402,none
27b,base,healthy_q6,q2_structural_amplifier,low,1400,0.9214,0.6421,0.9498,0.9893,0.0421,0.1957,0.1343,0.0357,0.5778,none
27b,base,healthy_q6,q2_structural_amplifier,medium,1400,0.9307,0.6043,0.9435,0.9921,0.0421,0.2514,0.1571,0.05,0.5263,none
27b,base,healthy_q6,routed_tri_structural_60,extreme,1400,0.9443,0.7114,0.9565,0.9907,0.0486,0.0779,0.2029,0.0636,0.6619,none
27b,base,healthy_q6,routed_tri_structural_60,high,1400,0.9471,0.7936,0.9663,0.9921,0.0414,0.0464,0.1357,0.05,0.7585,none
27b,base,healthy_q6,routed_tri_structural_60,low,1400,0.9314,0.8379,0.9724,0.9921,0.025,0.0214,0.0907,0.0421,0.8167,none
27b,base,healthy_q6,routed_tri_structural_60,medium,1400,0.9543,0.8071,0.9683,0.9821,0.0286,0.045,0.1229,0.05,0.7772,none
27b,base,healthy_q6,routed_tri_structural_65,extreme,1400,0.9486,0.7293,0.9594,0.9886,0.045,0.0721,0.19,0.055,0.6834,none
27b,base,healthy_q6,routed_tri_structural_65,high,1400,0.9529,0.7893,0.9653,0.99,0.0386,0.0414,0.1493,0.0521,0.7549,none
27b,base,healthy_q6,routed_tri_structural_65,low,1400,0.9464,0.8521,0.976,0.99,0.0264,0.0264,0.0786,0.0286,0.8312,none
27b,base,healthy_q6,routed_tri_structural_65,medium,1400,0.9564,0.8421,0.9718,0.9893,0.0329,0.0314,0.1007,0.0414,0.8159,none
27b,base,healthy_q6,stability_first_tri_70,extreme,1400,0.9307,0.7171,0.9536,0.9864,0.0586,0.0664,0.1986,0.06,0.6674,none
27b,base,healthy_q6,stability_first_tri_70,high,1400,0.9614,0.81,0.9689,0.9907,0.0329,0.0257,0.145,0.0457,0.7811,none
27b,base,healthy_q6,stability_first_tri_70,low,1400,0.9386,0.8493,0.9744,0.9893,0.0179,0.0207,0.0793,0.045,0.8312,none
27b,base,healthy_q6,stability_first_tri_70,medium,1400,0.9636,0.8343,0.9742,0.99,0.0221,0.0379,0.1043,0.045,0.8095,none
27b,base,healthy_q8,cognitive_structural_25_75,extreme,1400,0.9693,0.7564,0.9645,0.9857,0.0264,0.0514,0.1893,0.0579,0.7202,none
27b,base,healthy_q8,cognitive_structural_25_75,high,1400,0.9643,0.8129,0.9678,0.9893,0.0264,0.0186,0.1521,0.0564,0.7862,none
27b,base,healthy_q8,cognitive_structural_25_75,low,1400,0.9464,0.8807,0.9775,0.9864,0.0136,0.005,0.07,0.0379,0.8681,none
27b,base,healthy_q8,cognitive_structural_25_75,medium,1400,0.9664,0.8786,0.9757,0.9879,0.0229,0.0114,0.0857,0.0414,0.8605,none
27b,base,healthy_q8,cyber_structural_25_75,extreme,1400,0.955,0.7643,0.9642,0.9957,0.0421,0.0571,0.165,0.0543,0.7243,none
27b,base,healthy_q8,cyber_structural_25_75,high,1400,0.9657,0.8279,0.9719,0.99,0.0271,0.025,0.13,0.0436,0.8021,none
27b,base,healthy_q8,cyber_structural_25_75,low,1400,0.9464,0.8629,0.9773,0.9921,0.0164,0.015,0.0786,0.0379,0.8468,none
27b,base,healthy_q8,cyber_structural_25_75,medium,1400,0.9707,0.8671,0.9776,0.9871,0.0193,0.025,0.0864,0.0357,0.8477,none
27b,base,healthy_q8,q2_structural_amplifier,extreme,1400,0.92,0.4836,0.9189,0.9893,0.0557,0.34,0.2407,0.0614,0.3765,none
27b,base,healthy_q8,q2_structural_amplifier,high,1400,0.9264,0.5529,0.9362,0.9857,0.0507,0.3007,0.1736,0.0457,0.4613,none
27b,base,healthy_q8,q2_structural_amplifier,low,1400,0.9157,0.6464,0.9481,0.9871,0.0507,0.1979,0.12,0.0321,0.5804,none
27b,base,healthy_q8,q2_structural_amplifier,medium,1400,0.94,0.6229,0.9488,0.9936,0.0329,0.2493,0.1286,0.0507,0.5503,none
27b,base,healthy_q8,routed_tri_structural_60,extreme,1400,0.9629,0.7407,0.9634,0.9893,0.0343,0.0807,0.1857,0.0521,0.6968,none
27b,base,healthy_q8,routed_tri_structural_60,high,1400,0.9707,0.8093,0.9692,0.9893,0.0243,0.0557,0.125,0.0629,0.7777,none
27b,base,healthy_q8,routed_tri_structural_60,low,1400,0.9521,0.8536,0.9785,0.9907,0.0164,0.0286,0.0779,0.0314,0.8351,none
27b,base,healthy_q8,routed_tri_structural_60,medium,1400,0.9614,0.84,0.9748,0.9914,0.0293,0.04,0.0907,0.0379,0.8141,none
27b,base,healthy_q8,routed_tri_structural_65,extreme,1400,0.9629,0.7414,0.9626,0.9864,0.0314,0.0893,0.1736,0.0621,0.6971,none
27b,base,healthy_q8,routed_tri_structural_65,high,1400,0.9721,0.8107,0.971,0.9879,0.02,0.0414,0.1421,0.0521,0.7825,none
27b,base,healthy_q8,routed_tri_structural_65,low,1400,0.9514,0.8586,0.9791,0.9943,0.0171,0.0243,0.0764,0.0321,0.8408,none
27b,base,healthy_q8,routed_tri_structural_65,medium,1400,0.9679,0.8514,0.9755,0.9893,0.0186,0.0329,0.0936,0.0464,0.8295,none
27b,base,healthy_q8,stability_first_tri_70,extreme,1400,0.9621,0.7507,0.9642,0.9893,0.0293,0.0743,0.1729,0.065,0.71,none
27b,base,healthy_q8,stability_first_tri_70,high,1400,0.9721,0.8379,0.9727,0.9864,0.02,0.0314,0.1221,0.05,0.8133,none
27b,base,healthy_q8,stability_first_tri_70,low,1400,0.9421,0.87,0.9768,0.9907,0.0164,0.0243,0.0543,0.0436,0.8537,none
27b,base,healthy_q8,stability_first_tri_70,medium,1400,0.9671,0.855,0.9768,0.9929,0.0179,0.0364,0.0843,0.0486,0.8332,none
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,extreme,1400,0.2029,0.1221,0.4568,0.7079,0.3379,0.0493,0.6436,2.065,-0.1438,cascade
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,high,1400,0.2636,0.2043,0.5194,0.7421,0.2664,0.0257,0.4429,1.6593,0.0008,cascade
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,low,1400,0.4129,0.3271,0.7114,0.8379,0.1279,0.01,0.2336,0.7271,0.2317,none
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,medium,1400,0.3507,0.2857,0.6123,0.79,0.2007,0.0157,0.3436,1.2486,0.1324,none
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,extreme,1400,0.2264,0.1314,0.4842,0.6907,0.3171,0.0614,0.6036,1.9164,-0.1201,cascade
