model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
35b_a3b_moe,base,damaged_q2,stability_first_tri_70,0.8525,0.6107,0.9147,0.0941,0.0395,0.3077
35b_a3b_moe,base,damaged_q3,cognitive_structural_25_75,0.9186,0.7254,0.9533,0.0611,0.0216,0.2134
35b_a3b_moe,base,damaged_q3,cyber_structural_25_75,0.91,0.7196,0.9505,0.0675,0.0368,0.2013
35b_a3b_moe,base,damaged_q3,q2_structural_amplifier,0.9004,0.512,0.9237,0.0725,0.2848,0.2416
35b_a3b_moe,base,damaged_q3,routed_tri_structural_60,0.9168,0.7011,0.9516,0.0643,0.0434,0.2205
35b_a3b_moe,base,damaged_q3,routed_tri_structural_65,0.9248,0.7177,0.9549,0.0579,0.0464,0.2068
35b_a3b_moe,base,damaged_q3,stability_first_tri_70,0.922,0.7179,0.9538,0.0596,0.0423,0.2016
35b_a3b_moe,base,damaged_q4,cognitive_structural_25_75,0.9413,0.7682,0.9625,0.0432,0.0218,0.1795
35b_a3b_moe,base,damaged_q4,cyber_structural_25_75,0.9409,0.7811,0.9644,0.0418,0.0325,0.1541
35b_a3b_moe,base,damaged_q4,q2_structural_amplifier,0.9148,0.545,0.9308,0.0568,0.2754,0.218
35b_a3b_moe,base,damaged_q4,routed_tri_structural_60,0.9377,0.7545,0.9609,0.0498,0.0475,0.1698
35b_a3b_moe,base,damaged_q4,routed_tri_structural_65,0.935,0.7512,0.9608,0.0461,0.0493,0.1721
